ID,Position,Date,Status,ClubID,StudentID
1,Secretary,2024-03-02,Approved,16,622
2,Treasurer,2024-08-13,Approved,20,577
3,Event Coordinator,2024-05-31,Pending,8,500
4,President,2024-11-10,Pending,6,62
5,Treasurer,2023-12-08,Approved,15,170
6,Treasurer,2024-04-06,Pending,15,368
7,Secretary,2024-08-15,Pending,2,617
8,President,2023-12-30,Approved,6,201
9,Treasurer,2024-03-29,Approved,11,15
10,Treasurer,2024-04-09,Pending,5,847
11,President,2024-07-27,Rejected,11,561
12,Secretary,2023-12-08,Rejected,18,815
13,Secretary,2024-05-03,Rejected,6,485
14,President,2024-01-14,Approved,14,222
15,Event Coordinator,2024-05-31,Rejected,3,345
16,President,2024-10-12,Rejected,6,35
17,Treasurer,2024-03-10,Rejected,18,646
18,President,2024-02-23,Approved,4,235
19,Secretary,2024-04-06,Rejected,1,859
20,Secretary,2024-08-01,Approved,5,296
21,Treasurer,2024-09-13,Pending,2,606
22,Vice President,2024-10-02,Approved,18,650
23,Vice President,2024-10-09,Pending,1,353
24,Event Coordinator,2024-01-23,Rejected,11,554
25,President,2024-05-06,Pending,1,977
26,Secretary,2024-01-13,Approved,1,861
27,President,2023-12-08,Rejected,19,100
28,Vice President,2024-08-23,Approved,5,714
29,Vice President,2024-01-14,Pending,17,813
30,Event Coordinator,2024-09-24,Rejected,12,799
31,Event Coordinator,2024-03-28,Approved,15,362
32,Treasurer,2024-08-18,Pending,17,809
33,Vice President,2023-12-23,Rejected,6,470
34,Treasurer,2024-05-27,Rejected,12,371
35,President,2024-03-24,Approved,7,106
36,Vice President,2024-10-11,Rejected,7,811
37,Vice President,2024-08-03,Rejected,13,195
38,Event Coordinator,2023-12-19,Approved,13,349
39,Secretary,2024-01-10,Pending,2,109
40,Vice President,2024-01-28,Approved,8,45
41,Treasurer,2024-11-04,Approved,20,678
42,Secretary,2023-12-28,Approved,16,370
43,Treasurer,2024-04-08,Pending,4,671
44,Event Coordinator,2024-01-30,Approved,9,963
45,Event Coordinator,2024-08-16,Pending,13,288
46,President,2024-07-08,Pending,7,175
47,Treasurer,2024-06-03,Pending,3,932
48,President,2024-03-27,Pending,13,22
49,Vice President,2024-06-09,Approved,8,317
50,President,2024-08-24,Approved,19,505
51,Secretary,2024-10-15,Pending,16,673
52,Secretary,2024-02-21,Rejected,15,909
53,Secretary,2024-09-17,Approved,3,107
54,Secretary,2024-07-23,Pending,5,335
55,Secretary,2024-10-15,Pending,3,919
56,Treasurer,2024-05-04,Rejected,6,35
57,President,2024-05-09,Pending,18,45
58,President,2024-06-25,Pending,19,719
59,President,2024-05-23,Approved,19,729
60,Secretary,2023-12-25,Approved,13,312
61,Treasurer,2024-07-04,Approved,9,204
62,Vice President,2024-03-19,Approved,20,16
63,Secretary,2024-05-04,Rejected,12,193
64,Secretary,2024-11-12,Pending,17,718
65,Vice President,2024-05-26,Approved,9,646
66,President,2024-09-22,Rejected,8,428
67,Treasurer,2024-09-10,Approved,20,613
68,Vice President,2024-01-15,Pending,4,184
69,President,2024-10-06,Rejected,2,901
70,Event Coordinator,2024-04-19,Rejected,14,408
71,Secretary,2024-07-23,Pending,3,361
72,President,2024-01-08,Rejected,13,566
73,Vice President,2024-09-10,Approved,17,13
74,Vice President,2024-04-27,Rejected,18,463
75,President,2024-05-10,Pending,4,851
76,Vice President,2024-10-07,Rejected,15,649
77,Secretary,2023-12-10,Approved,4,263
78,President,2024-10-17,Approved,16,941
79,Treasurer,2024-11-26,Pending,16,118
80,Event Coordinator,2024-10-31,Rejected,17,353
81,Event Coordinator,2024-08-20,Pending,7,154
82,President,2023-12-11,Rejected,6,61
83,Secretary,2024-01-06,Approved,6,267
84,Secretary,2024-05-01,Rejected,12,301
85,President,2024-02-13,Approved,19,965
86,President,2024-06-14,Rejected,3,673
87,Secretary,2024-06-28,Pending,5,590
88,Treasurer,2024-09-04,Rejected,6,26
89,Vice President,2024-03-10,Rejected,9,643
90,Treasurer,2024-11-05,Rejected,13,1000
91,Treasurer,2024-05-20,Approved,1,282
92,Secretary,2024-01-25,Pending,9,809
93,President,2024-01-10,Approved,19,641
94,Event Coordinator,2024-02-29,Rejected,10,879
