ID,SpentAmount,Description,EventID
1,512.34,Evidence enough debate add rest rate recent.,777
2,2851.78,Bed medical rest everything.,268
3,4614.95,Research course toward low wind project common.,133
4,4072.52,Effort wait program shake Republican final.,461
5,4060.07,Quality dinner pattern network let reality.,692
6,3048.9,Phone camera evening station present player.,711
7,2455.28,Other face movie member water anyone.,772
8,1798.77,Every measure throughout hotel cultural coach important.,349
9,2480.75,Standard tough social behavior sister brother magazine.,752
10,249.38,Edge first prove college.,874
11,1701.61,Stop soon worry then figure evidence.,140
12,3550.09,Fight participant must ready call defense.,547
13,3006.46,Understand pressure reflect newspaper.,292
14,4101.34,Everybody marriage fall magazine light which light.,395
15,1632.3,Avoid yes establish relationship.,594
16,4837.72,Education true keep yet oil sell would so.,411
17,4321.6,Program create behind box wish within create.,959
18,1997.24,Defense trip test what.,41
19,3647.3,Final hear respond investment free shake inside form.,860
20,2895.08,Hold even billion drop.,986
21,2818.8,Lawyer public whether place her well government.,168
22,1330.85,Language life already else network.,291
23,3236.19,Political fill whether any.,358
24,1452.58,Its yard capital public himself environment establish.,265
25,928.21,Move rule already.,767
26,4584.81,Well national off.,988
27,2214.1,Series forget alone.,230
28,3526.72,Visit certainly become quickly answer themselves.,148
29,269.51,Although performance create difficult raise.,876
30,2034.94,Day room movie realize Mr.,276
31,645.4,Around onto want amount.,756
32,4252.49,Officer institution his home power community local.,351
33,742.4,Large why beyond.,836
34,1206.26,Left certain will yourself.,684
35,1885.52,Subject window market believe system also like.,269
36,1830.39,Answer feeling side animal interesting baby line.,152
37,4645.77,Knowledge really development drive myself.,534
38,475.84,Whole skill read animal easy about answer.,614
39,2495.46,Under almost natural where call.,874
40,1892.42,Teacher plant body work he imagine.,948
41,3646.83,Popular such light risk.,576
42,1527.66,Affect face agency reflect you computer.,801
43,315.74,Worker treatment coach important stock too learn American.,443
44,3067.27,Task need its idea.,505
45,259.06,Nothing including land help same father choice.,349
46,1249.67,Require feel tree.,611
47,1635.72,Well beyond leg how break civil.,665
48,4541.07,Tree phone I difference.,432
49,3306.57,Pick military issue with wish tell.,95
50,2930.94,Various war interesting onto industry feel.,434
51,3392.54,Tell lawyer dog report condition wide.,176
52,2372.26,Water account change particular fear learn pass.,502
53,4036.12,Environment majority involve sit.,368
54,2133.96,Same opportunity artist computer some professor.,456
55,2966.26,First large chair great none.,382
56,4346.69,Head wall they under idea.,774
57,1448.07,Pass education tell nor course.,984
58,358.26,Outside test yeah play inside.,931
59,727.35,Doctor lose especially full.,943
60,1030.89,Risk modern hear line.,236
61,983.72,Scene key mission voice fight talk.,335
62,221.28,Which major agent move it cultural.,431
63,3498.29,School leader person state eye friend always city.,441
64,1417.0,Data authority only.,291
65,1289.4,Alone remember book assume.,636
66,1443.62,Break administration source history stop own.,685
67,1108.5,Fast growth control standard theory.,712
68,4506.12,Receive on activity.,498
69,4311.04,Room friend agent huge us personal data.,211
70,4424.72,Management official around believe again newspaper.,169
71,310.3,Back against mouth bar leave social red would.,996
72,247.27,Later create other material.,369
73,3459.97,Ask skill social become after live.,930
74,458.78,Add night sure respond.,744
75,1189.96,Ready program significant our cut.,67
76,454.77,Everything evidence scene type yeah.,241
77,4069.08,Debate structure upon control admit.,558
78,2172.2,Perhaps collection around theory baby understand seat.,170
79,423.86,Thing blue compare some final hard.,364
80,3171.33,Get on know practice star become want.,378
81,4813.63,Head relationship test enough possible.,156
82,3068.31,Grow fear send dog.,883
83,2158.06,Knowledge be accept.,380
84,3486.2,Bag development and begin majority.,983
85,3371.45,Give chance us tree others choice station care.,289
86,2241.13,Land level through time my.,763
87,4238.45,Open stay land fire.,69
88,1492.72,Expert travel teacher include.,459
89,2198.2,Science why hundred professor good evidence.,449
90,4231.73,Condition south herself account that.,317
91,4529.95,Begin back move election color whom game.,778
92,2840.09,Success affect few base claim available but.,639
93,2676.65,Choose democratic cut three view.,373
94,220.74,Body both toward just treatment even produce.,588
95,681.16,Us game score high your piece.,572
96,3988.68,Speak campaign price lead.,759
97,3920.08,Land know argue civil though break big.,164
98,2325.67,Business know organization still back you.,986
99,2070.92,Claim image test image small.,98
100,3427.55,Personal interview tough discussion become knowledge door.,647
101,4941.24,Likely ever Republican or.,745
102,213.55,Both upon politics do.,412
103,1711.13,Mother capital both leg know.,427
104,3178.75,Pull want read too always fight entire.,960
105,1014.36,Action century born Republican.,532
106,4114.86,Seat free low job.,847
107,299.48,Development friend cut happy.,82
108,4339.71,Central important traditional key save bit fast.,923
109,3350.47,Deep let add food.,63
110,2993.56,Current figure ever father Mrs.,122
111,3469.0,Letter picture hand somebody local rule.,465
112,1538.08,Particular approach wife address generation available.,639
113,2481.39,Car simple learn wear full interesting tax population.,938
114,4532.32,Policy action site member.,170
115,4650.28,Affect trip hand tough.,41
116,2566.48,Particularly authority network break room foot whom.,377
117,168.3,Authority image shoulder table his.,223
118,278.8,Civil world course.,521
